drug_name,question_count,status
"xeljanz",11,parsed
"avapro",10,parsed
"invokamet",10,parsed
"arnuity-ellipta",9,parsed
"chantix",9,parsed
"diflucan",9,parsed
"invokamet-xr",9,parsed
"invokana",9,parsed
"lantus",9,parsed
"nicotrol",9,parsed
"ozempic",9,parsed
"pristiq",9,parsed
"tabrecta",9,parsed
"toviaz",9,parsed
"zepbound-kwikpen",9,parsed
"anoro-ellipta",8,parsed
"colestid",8,parsed
"cortef",8,parsed
"farxiga",8,parsed
"incruse-ellipta",8,parsed
"mayzent",8,parsed
"merilog",8,parsed
"plavix",8,parsed
"priftin",8,parsed
"protonix",8,parsed
"ventolin-hfa",8,parsed
"vfend",8,parsed
"xarelto",8,parsed
"zepbound",8,parsed
"abrilada",7,parsed
"admelog",7,parsed
"airsupra",7,parsed
"apidra",7,parsed
"eucrisa",7,parsed
"insulin-lispro",7,parsed
"repatha",7,parsed
"rydapt",7,parsed
"toujeo",7,parsed
"viracept",7,parsed
"aimovig",6,parsed
"azulfidine-en-tabs",6,parsed
"cleocin",6,parsed
"estring",6,parsed
"insulin-glargine",6,parsed
"levoxyl",6,parsed
"relenza",6,parsed
"azulfidine",5,parsed
"cytomel",5,parsed
"lopid",5,parsed
"medrol",5,parsed
"lovenox",4,parsed
"xigduo",4,parsed
"ngenla",3,parsed
"tikosyn",3,parsed
"malarone",2,parsed
"zavzpret",2,parsed
"bevespi",1,parsed
"duavee",1,parsed
"premarin",1,parsed
"premarin-vc",1,parsed
"prempro",1,parsed
"zarontin",1,parsed
"advair-diskus",0,parsed
"advair-hfa",0,parsed
"alphagan",0,parsed
"amjevita",0,parsed
"cetrotide",0,missing
"combigan",0,parsed
"genotropin",0,parsed
"gonal-f",0,missing
"humira-pen",0,parsed
"humira-syringe",0,parsed
"jentadueto",0,missing
"jentadueto-xr",0,parsed
"ovidrel",0,missing
"primaquine-phosphate",0,parsed
"striverdi-respimat",0,parsed
"synthroid",0,parsed
"wegovy",0,missing
"wegovy-pill",0,parsed
"zyvox",0,parsed
